Rc435	VDDHV#13794	VDDHV#177	17.36,-19.25 	17.36,-14.8
Rc439	VDDHV#177	VDDHV#8060	18.8,-9.5495 	18.8,-14.8
Rc440	VDDHV#8060	VDDHV#13800	18.8,-14.8 	18.8,-19.25
Rc444	VDDHV#177	VDDHV#13804	20.24,-14.8 	20.24,-19.25
Rc446	VDDHV#177	VDDHV#8055	21.68,-9.5495 	21.68,-14.8
Rc447	VDDHV#8055	VDDHV#13807	21.68,-14.8 	21.68,-19.25
Rc449	OUT#14304	OUT#8422	28.44,1.35 	28.44,-3.1
Rc450	OUT#8422	OUT#8423	28.44,-3.1 	28.44,-8.3495
Rc457	OUT#8423	OUT#8430	27,-8.3495 	27,-3.1
Rc458	OUT#8430	OUT#14314	27,-3.1 	27,1.35
Rc459	OUT#8423	OUT#3	25.56,-8.3495 	25.56,-3.1
Rc460	OUT#3	OUT#14316	25.56,-3.1 	25.56,1.35
Rc461	OUT#8423	OUT#8435	24.12,-8.3495 	24.12,-3.1
Rc462	OUT#8435	OUT#14318	24.12,-3.1 	24.12,1.35
Rc463	OUT#14319	OUT#8438	28.44,-10.35 	28.44,-14.8
Rc464	OUT#8438	OUT#8439	28.44,-14.8 	28.44,-20.0495
Rc471	OUT#8439	OUT#8446	27,-20.0495 	27,-14.8
Rc472	OUT#8446	OUT#14329	27,-14.8 	27,-10.35
Rc473	OUT#8439	OUT#3	25.56,-20.0495 	25.56,-14.8
Rc474	OUT#3	OUT#14331	25.56,-14.8 	25.56,-10.35
Rc475	OUT#8439	OUT#8451	24.12,-20.0495 	24.12,-14.8
Rc476	OUT#8451	OUT#14333	24.12,-14.8 	24.12,-10.35
Rc477	VDDHV#13809	VDDHV#177	23.4,-7.55 	23.4,-3.1
Rc481	VDDHV#177	VDDHV#8077	24.84,2.15 	24.84,-3.1
Rc482	VDDHV#8077	VDDHV#13815	24.84,-3.1 	24.84,-7.55
Rc486	VDDHV#177	VDDHV#13819	26.28,-3.1 	26.28,-7.55
Rc488	VDDHV#177	VDDHV#8072	27.72,2.15 	27.72,-3.1
Rc489	VDDHV#8072	VDDHV#13822	27.72,-3.1 	27.72,-7.55
